ICDE_text-embedding-002_path_and_value_Mistral-7B: 0.163
ICDE_text-embedding-002_path_and_value_LLama2-7B: 0.1156
ICDE_text-embedding-002_path_and_value_LLama2-13B: 0.1577
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B: 0.1651
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B: 0.0773
ICDE_text-embedding-002_path_and_value_desc_LLama2-13B: 0.1584
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3625, 'extraction_complex': 0.1628, 'reasoning_atomic': 0.3095, 'reasoning_complex': 0.2949}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.3147, 'extraction_complex': 0.1104, 'reasoning_atomic': 0.1776, 'reasoning_complex': 0.3658}
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.3625, 'extraction_complex': 0.1628, 'reasoning_atomic': 0.3095, 'reasoning_complex': 0.2949}
ICDE_text-embedding-002_path_and_value_LLama2-7B_F1: {'extraction_atomic': 0.1217, 'extraction_complex': 0.093, 'reasoning_atomic': 0.1233, 'reasoning_complex': 0.1209}
ICDE_text-embedding-002_path_and_value_Mistral-7B_F1: {'extraction_atomic': 0.1926, 'extraction_complex': 0.1439, 'reasoning_atomic': 0.1027, 'reasoning_complex': 0.182}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.3147, 'extraction_complex': 0.1104, 'reasoning_atomic': 0.1776, 'reasoning_complex': 0.3658}
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B_F1: {'extraction_atomic': 0.0781, 'extraction_complex': 0.0821, 'reasoning_atomic': 0.0209, 'reasoning_complex': 0.1165}
ICDE_text-embedding-002_path_and_value_desc_Mistral-7B_F1: {'extraction_atomic': 0.1965, 'extraction_complex': 0.1342, 'reasoning_atomic': 0.1119, 'reasoning_complex': 0.1868}
ICDE_text-embedding-002_path_and_value_gpt3.5_F1: {'extraction_atomic': 0.405, 'extraction_complex': 0.2673, 'reasoning_atomic': 0.4615, 'reasoning_complex': 0.3346}
ICDE_text-embedding-002_path_and_value_LLama2-7B_F1: {'extraction_atomic': 0.1217, 'extraction_complex': 0.093, 'reasoning_atomic': 0.1233, 'reasoning_complex': 0.1209}
ICDE_text-embedding-002_path_and_value_Mistral-7B_F1: {'extraction_atomic': 0.1926, 'extraction_complex': 0.1439, 'reasoning_atomic': 0.1027, 'reasoning_complex': 0.182}
ICDE_text-embedding-002_path_and_value_desc_gpt3.5_F1: {'extraction_atomic': 0.4321, 'extraction_complex': 0.3776, 'reasoning_atomic': 0.3926, 'reasoning_complex': 0.3608}
ICDE_text-embedding-002_path_and_value_desc_LLama2-7B_F1: {'extraction_atomic': 0.0781, 'extraction_complex': 0.0821, 'reasoning_atomic': 0.0209, 'reasoning_complex': 0.1165}
